Year,Market_Value,AI_Adoption,Popularity_Score
2018,29.5,10,16.094
2019,35.0,20,21.094
2020,45.0,30,26.094
2021,65.0,35,31.094
2022,140.0,35,36.094
2023,279.0,35,41.094
2024,400.0,40,46.094
2025,1810.0,63,51.094
