Model,Train_R2,Train_RMSE,Train_MAE,Test_R2,Test_RMSE,Test_MAE
Linear Regression,1.0,1.0950198975068616e-14,7.815970093361103e-15,0.38992109502371664,17.620659276956605,16.62415647016179
Ridge Regression,0.9999999999897902,4.7546839643231836e-05,3.659014964583207e-05,0.38994378127304186,17.62033165508453,16.623871590010292
Lasso Regression,0.999999976632449,0.0022746789418815476,0.0019894010604165403,-92.5136450102887,218.1557387971704,141.79261746681357
Random Forest,0.9135376726976094,4.375492741623512,3.308800000000011,-7.892471656751244,67.2729378666241,62.64240000000001
Gradient Boosting,0.9999999992944921,0.00039524324026698224,0.0003477630833550904,-5.57584657609714,57.850216055448996,53.097350627122616
Xgboost,0.9999999980571836,0.0006558875464196464,0.0004485015869143183,-4.130263393062952,51.09742097902417,45.84774958292643
