Model,Train_R2,Train_RMSE,Train_MAE,Test_R2,Test_RMSE,Test_MAE
Linear Regression,1.0,3.749754228567429e-14,2.6290081223123708e-14,-0.17018055312945868,751.7702183401613,490.6631057140349
Ridge Regression,0.9999998463674179,0.01583750923887626,0.012341880913460557,-0.1703688051914709,751.8306861893379,490.73051872615997
Lasso Regression,0.999999827584337,0.016777744426495357,0.013369254243623629,-0.3802423240309314,816.4627004033856,531.4134683423667
Random Forest,0.8604756774304194,15.092812527822636,11.56,-1.127489032040844,1013.660080574351,736.2866666666665
Gradient Boosting,0.9999999992871629,0.0010787986109474265,0.0008414651167619524,-1.0331125087472648,990.9218047407929,704.5256290395637
Xgboost,0.9999999997145288,0.0006826944055118506,0.000457000732421875,-0.9848327419307075,979.0855398457668,689.6677500406901
